时间,开盘,最高,最低,收盘,总手(万),金额(亿)
"1991-10-24,四",210.2,210.2,208.25,210.07,1317400,13174235
"1991-10-25,五",210.34,211.97,209.71,211.86,2226300,22263149
"1991-10-28,一",213.5,213.98,211.86,213.98,235700,2357941
"1991-10-29,二",215.63,215.78,213.98,215.78,206900,2069665
"1991-10-30,三",216.37,216.43,215.78,216.43,181400,1814463
"1991-10-31,四",218.59,218.6,216.43,218.6,291400,2914654
"1991-11-01,五",220.71,220.72,218.6,220.72,431300,4313355
"1991-11-04,一",222.77,222.77,220.79,222.77,335200,3352291
"1991-11-05,二",224.44,224.65,222.77,224.65,222500,2225605
"1991-11-06,三",226.83,226.88,224.65,226.88,218800,2188148
"1991-11-07,四",228.93,228.93,226.88,228.93,408500,4085072
"1991-11-08,五",230.99,231.22,228.93,231.22,1103900,11039106
"1991-11-11,一",233.48,233.55,231.22,233.55,213000,2130826
"1991-11-12,二",235.75,235.8,233.55,235.8,91400,914377
"1991-11-13,三",236.51,236.67,235.8,236.67,87900,879975
"1991-11-14,四",237.39,237.45,236.67,237.45,94000,940119
"1991-11-15,五",238.25,238.25,237.45,238.25,191400,1914795
"1991-11-18,一",240.04,240.62,238.25,240.62,153400,1534361
"1991-11-19,二",242.24,242.24,240.62,242.24,204000,2040941
"1991-11-20,三",244.5,244.5,242.24,244.5,192900,1929087
"1991-11-21,四",246.26,246.31,244.5,246.31,203000,2030500
"1991-11-22,五",248.24,248.53,246.31,248.53,195400,1954544
"1991-11-25,一",250.84,250.85,248.53,250.85,196300,1963992
"1991-11-26,二",252.9,252.97,250.85,252.97,232600,2326565
"1991-11-27,三",255.27,255.45,252.97,255.45,175600,1756893
"1991-11-28,四",257.27,257.35,255.45,257.35,225100,2251847
"1991-11-29,五",259.68,259.85,257.35,259.6,2845300,28453937
"1991-12-02,一",261.77,262.19,259.67,262.19,1631000,16310190
"1991-12-03,二",264.64,264.81,262.19,264.81,120700,1207594
"1991-12-04,三",265.52,265.77,264.81,265.77,90300,903324
"1991-12-05,四",266.48,266.66,265.77,266.66,210000,2100256
"1991-12-06,五",269.33,269.35,266.66,269.35,179800,1798852
"1991-12-09,一",270.27,270.27,269.35,270.27,164800,1648764
"1991-12-10,二",270.27,272.91,270.27,272.91,66500,665483
"1991-12-11,三",273.52,273.7,272.91,273.7,85900,859049
"1991-12-12,四",274.41,274.41,273.7,274.41,164400,1644190
"1991-12-13,五",276.81,277,274.41,277,96200,962311
"1991-12-16,一",277.52,277.85,277,277.85,81700,817004
"1991-12-17,二",278.67,278.68,277.85,278.68,75400,754992
"1991-12-18,三",279.32,279.51,278.68,279.51,89300,893281
"1991-12-19,四",279.98,280.17,279.51,280.17,124200,1242701
"1991-12-20,五",282.83,282.83,280.63,282.83,626800,6268733
"1991-12-23,一",285.64,285.64,282.83,285.64,118200,1182123
"1991-12-24,二",285.74,286.22,285.64,286.22,59300,593373
"1991-12-25,三",287.08,287.14,286.22,287.14,87300,873628
"1991-12-26,四",288.02,288.02,287.14,288.02,142200,1422421
"1991-12-27,五",290.64,290.85,288.02,290.85,178900,1789522
"1991-12-30,一",291.7,291.7,290.85,291.7,188100,1881075
"1991-12-31,二",292.48,292.75,291.7,292.75,85800,858863
"1992-01-02,四",293.74,293.75,292.76,293.75,133900,1339598
"1992-01-03,五",296.24,296.52,293.75,296.52,184200,1842222
"1992-01-06,一",297.68,297.68,296.52,297.68,423600,4236024
"1992-01-07,二",298.54,298.77,297.68,298.77,106400,1064008
"1992-01-08,三",299.64,299.66,298.77,299.66,93000,930535
"1992-01-09,四",300.61,300.62,299.66,300.62,124400,1244834
"1992-01-10,五",301.82,301.83,300.62,301.83,262900,2629590
"1992-01-13,一",302.83,303.06,302,303.06,109700,1097531
"1992-01-14,二",304.77,305.74,303.06,305.74,85800,858530
"1992-01-15,三",306.62,306.63,305.74,306.63,31400,314974
"1992-01-16,四",306.85,306.85,306.63,306.85,48800,488305
"1992-01-17,五",307.37,307.38,306.85,307.38,32100,321916
"1992-01-20,一",307.38,307.39,307.38,307.39,50200,502999
"1992-01-21,二",307.87,307.87,307.39,307.87,65000,650501
